producer,name,source_kind,contents_kind,chart,chart_version,bundle_digest,file_count,verdict_lane,verdict_status,oci_reference,oci_published,receipt
config-workshop-catalog,catalog-elastic-metricbeat-8.5.1-default,helm-chart,rendered-config,metricbeat,8.5.1,sha256:344cbd505c9a3b972a4a099b550bf30d0dcb298eaf35cef3dc8ff1a1a0821f4b,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-elastic-metricbeat-8-5-1-default:latest,published,data/certified-bundles/receipts/catalog/metricbeat-8.5.1-default/receipt.yaml
config-workshop-catalog,catalog-gitlab-gitlab-runner-0.89.0-default,helm-chart,rendered-config,gitlab-runner,0.89.0,sha256:0f4e3172af8e9224510a7719890421f1e584397ad7c6e62300405bf9a0668710,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-gitlab-gitlab-runner-0-89-0-default:latest,published,data/certified-bundles/receipts/catalog/gitlab-runner-0.89.0-default/receipt.yaml
config-workshop-catalog,catalog-grafana-promtail-6.17.1-default,helm-chart,rendered-config,promtail,6.17.1,sha256:77c54084c317bf9621698a10dbee117ae2e252152f3d7f7f173d96b8eb2f5727,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-grafana-promtail-6-17-1-default:latest,published,data/certified-bundles/receipts/catalog/promtail-6.17.1-default/receipt.yaml
config-workshop-catalog,catalog-istio-gateway-1.30.0-default,helm-chart,rendered-config,gateway,1.30.0,sha256:61a03992721bfc6967d46ef539af9599912d929b669d6a63f07ed9e9a0a962e9,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-istio-gateway-1-30-0-default:latest,published,data/certified-bundles/receipts/catalog/gateway-1.30.0-default/receipt.yaml
config-workshop-catalog,catalog-jetstack-cert-manager-csi-driver-v0.14.0-default,helm-chart,rendered-config,cert-manager-csi-driver,v0.14.0,sha256:1ef6e2d9d555c29dd198b7090db0c579bac40e96ffd32dbcd55801dd48bd7ed2,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-jetstack-cert-manager-csi-driver-v0-14-0-default:latest,published,data/certified-bundles/receipts/catalog/cert-manager-csi-driver-v0.14.0-default/receipt.yaml
config-workshop-catalog,catalog-nats-nats-2.14.0-default,helm-chart,rendered-config,nats,2.14.0,sha256:229c3f18949eee5efb6d6e18c30394add6e605c1d02449e933e639b9960ccf29,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-nats-nats-2-14-0-default:latest,published,data/certified-bundles/receipts/catalog/nats-2.14.0-default/receipt.yaml
config-workshop-catalog,catalog-nats-surveyor-0.20.9-default,helm-chart,rendered-config,surveyor,0.20.9,sha256:bd7564515428f465b63349ccc53ad91528f9dfefc38e2b78e74ef499e28c62be,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-nats-surveyor-0-20-9-default:latest,published,data/certified-bundles/receipts/catalog/surveyor-0.20.9-default/receipt.yaml
config-workshop-catalog,catalog-nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-4.0.18-default,helm-chart,rendered-config,nfs-subdir-external-provisioner,4.0.18,sha256:1be62c187476deb5b21ac3102b7321fe7a73665bef60f6e95096916519ce204d,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-4-0-18-default:latest,published,data/certified-bundles/receipts/catalog/nfs-subdir-external-provisioner-4.0.18-default/receipt.yaml
config-workshop-catalog,catalog-opencost-opencost-2.5.21-default,helm-chart,rendered-config,opencost,2.5.21,sha256:959d98626d39b93cd075044bcafb7258effb0064ce5e128206f8999686fb2009,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-opencost-opencost-2-5-21-default:latest,published,data/certified-bundles/receipts/catalog/opencost-2.5.21-default/receipt.yaml
config-workshop-catalog,catalog-prometheus-community-kube-state-metrics-7.4.0-default,helm-chart,rendered-config,kube-state-metrics,7.4.0,sha256:923c55b9b35ab1c4419fae4ddfc3f7baee033e835d7829087b68009d79d25df2,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-prometheus-community-kube-state-metrics-7-4-0-default:latest,published,data/certified-bundles/receipts/catalog/kube-state-metrics-7.4.0-default/receipt.yaml
config-workshop-catalog,catalog-prometheus-community-prometheus-adapter-5.3.0-default,helm-chart,rendered-config,prometheus-adapter,5.3.0,sha256:a1d0e9e9aacbc24fe372b8f0288a5f893abd60c59f76620d05ea9de4b18cb711,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-prometheus-community-prometheus-adapter-5-3-0-default:latest,published,data/certified-bundles/receipts/catalog/prometheus-adapter-5.3.0-default/receipt.yaml
config-workshop-catalog,catalog-prometheus-community-prometheus-blackbox-exporter-11.10.0-default,helm-chart,rendered-config,prometheus-blackbox-exporter,11.10.0,sha256:44b6d434f9b4532076a6f250a875dc47ed39262bc526f17352a3a254d421aca9,2,safe-to-flatten,certified,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/bundles/catalog-prometheus-community-prometheus-blackbox-exporter-11-10-0-default:latest,published,data/certified-bundles/receipts/catalog/prometheus-blackbox-exporter-11.10.0-default/receipt.yaml
