receipt,family,date_field,recorded,age_days
runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,lifecycle-observations,observedAt,2026-06-06T21:16:42Z,80
runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-crds-enabled/receipt.yaml,lifecycle-observations,observedAt,2026-06-06T21:14:53Z,80
runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-default/receipt.yaml,lifecycle-observations,observedAt,2026-06-06T21:14:11Z,80
runs/live-helm-confighub-compare/bitnami-mysql-static-passwords/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-08T17:46:04Z,79
runs/live-helm-confighub-compare/external-secrets-external-secrets-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-08T17:11:42Z,79
runs/live-helm-confighub-compare/grafana-loki-single-binary-filesystem/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-08T10:42:12Z,79
runs/live-helm-confighub-compare/hashicorp-consul-default-control-plane/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-08T19:19:58Z,79
runs/live-helm-confighub-compare/longhorn-longhorn-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-08T10:49:43Z,79
runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-09T10:15:40Z,78
runs/live-helm-confighub-compare/grafana-tempo-local-persistent/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-09T10:23:03Z,78
runs/live-helm-confighub-compare/ingress-nginx-ingress-nginx-internal-clusterip/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-09T20:44:02Z,78
runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-09T09:59:35Z,78
runs/live-kind-parity/external-secrets-external-secrets-no-crds/receipt.yaml,live-kind-parity,observedAt,2026-06-09T08:38:56Z,78
runs/live-kind-parity/grafana-loki-simple-scalable-minio/receipt.yaml,live-kind-parity,observedAt,2026-06-09T10:58:24Z,78
runs/live-kind-parity/grafana-tempo-local-persistent/receipt.yaml,live-kind-parity,observedAt,2026-06-09T09:55:57Z,78
runs/live-kind-parity/ingress-nginx-ingress-nginx-internal-clusterip/receipt.yaml,live-kind-parity,observedAt,2026-06-09T19:56:14Z,78
runs/redis-local-kind/latest/observation-receipt.yaml,redis-local-kind,observedAt,2026-06-09T12:55:38.662Z,78
runs/hook-lifecycle/fluent-fluent-bit/default/latest/receipt.yaml,hook-lifecycle,observedAt,2026-06-10T18:21:50Z,77
runs/latest-top20-refresh/argo-cd-9.5.17/live-parity/default/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:13:44Z,77
runs/latest-top20-refresh/kube-prometheus-stack-86.1.0/live-parity/default/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:22:29Z,77
runs/latest-top20-refresh/mongodb-19.0.9/live-parity/static-passwords/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:16:48Z,77
runs/latest-top20-refresh/mongodb-19.1.0/live-parity/static-passwords/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T17:53:02Z,77
runs/latest-top20-refresh/nginx-24.0.4/live-parity/http-clusterip/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:10:41Z,77
runs/latest-top20-refresh/nginx-25.0.0/live-parity/http-clusterip/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T16:54:46Z,77
