chart,variant,lane,lane_label,recorded,disposition,derived,reason,next_action,owner
grafana/tempo@1.24.4,s3-query-observability,gitops_oci_live,G,watch,watch,no,,,
grafana/tempo@1.24.4,s3-query-observability,live_helm_vs_confighub_parity,P,watch,watch,no,,,
grafana/tempo@1.24.4,s3-query-observability,two_cluster_kind_parity,K,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,render_parity,R,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,in_confighub,C,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,local_live,L,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,gitops_oci_live,G,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
haproxytech/kubernetes-ingress@1.52.0,default,two_cluster_kind_parity,K,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,render_parity,R,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,in_confighub,C,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,local_live,L,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,gitops_oci_live,G,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,live_helm_vs_confighub_parity,P,pass,pass,no,,,
hashicorp/consul@2.0.0,default-control-plane,two_cluster_kind_parity,K,pass,pass,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,render_parity,R,pass,pass,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,in_confighub,C,pass,pass,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,local_live,L,fail,fail,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,gitops_oci_live,G,watch,watch,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,live_helm_vs_confighub_parity,P,watch,watch,no,,,
hashicorp/consul@2.0.0,secure-mesh-existing-secrets,two_cluster_kind_parity,K,pass,pass,no,,,
hashicorp/terraform@1.1.2,default,render_parity,R,pass,pass,no,,,
hashicorp/terraform@1.1.2,default,in_confighub,C,pass,pass,no,,,
hashicorp/terraform@1.1.2,default,local_live,L,blocked,blocked,no,,,
hashicorp/terraform@1.1.2,default,gitops_oci_live,G,watch,watch,no,,,
hashicorp/terraform@1.1.2,default,live_helm_vs_confighub_parity,P,watch,watch,no,,,
hashicorp/terraform@1.1.2,default,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
hashicorp/terraform@1.1.2,no-crds,render_parity,R,pass,pass,no,,,
hashicorp/terraform@1.1.2,no-crds,in_confighub,C,pass,pass,no,,,
hashicorp/terraform@1.1.2,no-crds,local_live,L,blocked,blocked,no,,,
hashicorp/terraform@1.1.2,no-crds,gitops_oci_live,G,watch,watch,no,,,
hashicorp/terraform@1.1.2,no-crds,live_helm_vs_confighub_parity,P,watch,watch,no,,,
hashicorp/terraform@1.1.2,no-crds,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
hashicorp/vault@0.32.0,default,render_parity,R,pass,pass,no,,,
hashicorp/vault@0.32.0,default,in_confighub,C,pass,pass,no,,,
hashicorp/vault@0.32.0,default,local_live,L,pass,pass,no,,,
hashicorp/vault@0.32.0,default,gitops_oci_live,G,pass,pass,no,,,
hashicorp/vault@0.32.0,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
hashicorp/vault@0.32.0,default,two_cluster_kind_parity,K,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,render_parity,R,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,in_confighub,C,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,local_live,L,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,gitops_oci_live,G,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,live_helm_vs_confighub_parity,P,pass,pass,no,,,
hashicorp/vault@0.32.0,dev-mode,two_cluster_kind_parity,K,pass,pass,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,render_parity,R,pass,pass,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,in_confighub,C,pass,pass,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,local_live,L,blocked,blocked,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,gitops_oci_live,G,watch,watch,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,live_helm_vs_confighub_parity,P,watch,watch,no,,,
hashicorp/vault@0.32.0,ha-raft-ui,two_cluster_kind_parity,K,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,render_parity,R,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,in_confighub,C,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,local_live,L,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,gitops_oci_live,G,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,live_helm_vs_confighub_parity,P,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,admission-disabled,two_cluster_kind_parity,K,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,render_parity,R,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,in_confighub,C,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,local_live,L,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,gitops_oci_live,G,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,default,two_cluster_kind_parity,K,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,render_parity,R,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,in_confighub,C,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,local_live,L,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,gitops_oci_live,G,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,live_helm_vs_confighub_parity,P,pass,pass,no,,,
ingress-nginx/ingress-nginx@4.15.1,internal-clusterip,two_cluster_kind_parity,K,pass,pass,no,,,
istio/gateway@1.30.0,controller-default-reviewed,render_parity,R,pass,pass,no,,,
istio/gateway@1.30.0,controller-default-reviewed,in_confighub,C,pass,pass,no,,,
istio/gateway@1.30.0,controller-default-reviewed,local_live,L,blocked,blocked,no,,,
istio/gateway@1.30.0,controller-default-reviewed,gitops_oci_live,G,watch,watch,no,,,
istio/gateway@1.30.0,controller-default-reviewed,live_helm_vs_confighub_parity,P,watch,watch,no,,,
istio/gateway@1.30.0,controller-default-reviewed,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (image unavailable (registry purge)),resolve the local-live prerequisite first; the live lanes inherit it,either
istio/gateway@1.30.0,default,render_parity,R,pass,pass,no,,,
istio/gateway@1.30.0,default,in_confighub,C,pass,pass,no,,,
istio/gateway@1.30.0,default,local_live,L,blocked,blocked,no,,,
istio/gateway@1.30.0,default,gitops_oci_live,G,watch,watch,no,,,
istio/gateway@1.30.0,default,live_helm_vs_confighub_parity,P,watch,watch,no,,,
istio/gateway@1.30.0,default,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (image unavailable (registry purge)),resolve the local-live prerequisite first; the live lanes inherit it,either
istio/istiod@1.30.0,default,render_parity,R,pass,pass,no,,,
istio/istiod@1.30.0,default,in_confighub,C,pass,pass,no,,,
istio/istiod@1.30.0,default,local_live,L,fail,fail,no,,,
istio/istiod@1.30.0,default,gitops_oci_live,G,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
istio/istiod@1.30.0,default,live_helm_vs_confighub_parity,P,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
istio/istiod@1.30.0,default,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live failed; live lanes cannot make a green claim until it converges,fix or route the local-live failure first,either
jaegertracing/jaeger-operator@2.57.0,default,render_parity,R,pass,pass,no,,,
jaegertracing/jaeger-operator@2.57.0,default,in_confighub,C,pass,pass,no,,,
jaegertracing/jaeger-operator@2.57.0,default,local_live,L,blocked,blocked,no,,,
jaegertracing/jaeger-operator@2.57.0,default,gitops_oci_live,G,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
jaegertracing/jaeger-operator@2.57.0,default,live_helm_vs_confighub_parity,P,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
jaegertracing/jaeger-operator@2.57.0,default,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
jaegertracing/jaeger-operator@2.57.0,no-crds,render_parity,R,pass,pass,no,,,
jaegertracing/jaeger-operator@2.57.0,no-crds,in_confighub,C,pass,pass,no,,,
jaegertracing/jaeger-operator@2.57.0,no-crds,local_live,L,blocked,blocked,no,,,
jaegertracing/jaeger-operator@2.57.0,no-crds,gitops_oci_live,G,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
jaegertracing/jaeger-operator@2.57.0,no-crds,live_helm_vs_confighub_parity,P,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
