recipe,repository,chart,version,status,detail,witness
recipes/descheduler/descheduler/0.36.0,descheduler,descheduler,0.36.0,scanned,,data/flattening-safety/witnesses/descheduler-descheduler-0.36.0.yaml
recipes/dex/dex/0.24.0,dex,dex,0.24.0,scanned,,data/flattening-safety/witnesses/dex-dex-0.24.0.yaml
recipes/elastic/eck-operator/3.4.0,elastic,eck-operator,3.4.0,scanned,,data/flattening-safety/witnesses/elastic-eck-operator-3.4.0.yaml
recipes/elastic/filebeat/8.5.1,elastic,filebeat,8.5.1,scanned,,data/flattening-safety/witnesses/elastic-filebeat-8.5.1.yaml
recipes/elastic/kibana/8.5.1,elastic,kibana,8.5.1,scanned,,data/flattening-safety/witnesses/elastic-kibana-8.5.1.yaml
recipes/elastic/logstash/8.5.1,elastic,logstash,8.5.1,scanned,,data/flattening-safety/witnesses/elastic-logstash-8.5.1.yaml
recipes/elastic/metricbeat/8.5.1,elastic,metricbeat,8.5.1,scanned,,data/flattening-safety/witnesses/elastic-metricbeat-8.5.1.yaml
recipes/external-dns/external-dns/1.21.1,external-dns,external-dns,1.21.1,scanned,,data/flattening-safety/witnesses/external-dns-external-dns-1.21.1.yaml
recipes/external-secrets/external-secrets/2.5.0,external-secrets,external-secrets,2.5.0,scanned,,data/flattening-safety/witnesses/external-secrets-external-secrets-2.5.0.yaml
recipes/external-secrets/external-secrets/2.7.0,external-secrets,external-secrets,2.7.0,scanned,,data/flattening-safety/witnesses/external-secrets-external-secrets-2.7.0.yaml
recipes/external-secrets/external-secrets/2.8.0,external-secrets,external-secrets,2.8.0,current,witness already matches the locked hash,data/flattening-safety/witnesses/external-secrets-external-secrets-2.8.0.yaml
recipes/fairwinds-stable/goldilocks/10.3.0,fairwinds-stable,goldilocks,10.3.0,hash-mismatch,upstream now publishes 3e51ce8032b0 where the lock records 9498a6f49cde,
recipes/fairwinds-stable/vpa/4.11.0,fairwinds-stable,vpa,4.11.0,hash-mismatch,upstream now publishes 2751f4ad7d3b where the lock records 28b48002bf80,
recipes/falcosecurity/falco/9.0.0,falcosecurity,falco,9.0.0,scanned,,data/flattening-safety/witnesses/falcosecurity-falco-9.0.0.yaml
