repo,chart,version,base,lane,hooks,lookup,keep,webhooks,generated_secrets,crd_evidence,verdict
runix,pgadmin4,1.62.0,default,unsafe-to-flatten,present,absent,absent,absent,present,absent,recipes/runix/pgadmin4/1.62.0/publication/flattening-safety-verdict.yaml
secrets-store-csi-driver,secrets-store-csi-driver,1.6.0,sync-secret-rotation,flatten-with-routes,present,absent,present-gated,absent,absent,present,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0/publication/flattening-safety-verdict-sync-secret-rotation.yaml
stakater,reloader,2.2.12,controller-default-reviewed,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/stakater/reloader/2.2.12/publication/flattening-safety-verdict-controller-default-reviewed.yaml
strimzi,strimzi-kafka-operator,1.0.0,no-crds,safe-to-flatten,absent,absent,absent,absent,absent,present-gated,recipes/strimzi/strimzi-kafka-operator/1.0.0/publication/flattening-safety-verdict-no-crds.yaml
traefik,traefik,40.2.0,default,unsafe-to-flatten,absent,present,present-gated,present-gated,present-gated,present,recipes/traefik/traefik/40.2.0/publication/flattening-safety-verdict.yaml
traefik,traefik,40.2.0,no-crds,unsafe-to-flatten,absent,present,present-gated,present-gated,present-gated,present-gated,recipes/traefik/traefik/40.2.0/publication/flattening-safety-verdict-no-crds.yaml
valkey,valkey,0.11.0,default,safe-to-flatten,present,absent,present-gated,absent,absent,absent,recipes/valkey/valkey/0.11.0/publication/flattening-safety-verdict.yaml
velero,velero,12.0.1,default,unsafe-to-flatten,present,absent,absent,absent,absent,present,recipes/velero/velero/12.0.1/publication/flattening-safety-verdict.yaml
velero,velero,12.0.1,no-crds,unsafe-to-flatten,present,absent,absent,absent,absent,present-gated,recipes/velero/velero/12.0.1/publication/flattening-safety-verdict-no-crds.yaml
velero,velero,12.1.0,default,unsafe-to-flatten,present,absent,absent,absent,absent,present,recipes/velero/velero/12.1.0/publication/flattening-safety-verdict.yaml
vm,victoria-logs-single,0.12.5,default,unsafe-to-flatten,absent,present,absent,absent,absent,absent,recipes/vm/victoria-logs-single/0.12.5/publication/flattening-safety-verdict.yaml
vm,victoria-metrics-single,0.39.0,default-reviewed,safe-to-flatten,absent,absent,absent,absent,absent,absent,recipes/vm/victoria-metrics-single/0.39.0/publication/flattening-safety-verdict-default-reviewed.yaml
