chart,feature,status,support_meaning,evidence
argo-cd/argo-rollouts@2.40.9,no_crds_variant,built,CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,buildable_not_yet_run,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,not_yet_enabled,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no hard capability gap recorded,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
